Iteration Count,Temperature,Precision,Recall,F1,ROUGE-1,ROUGE-2,ROUGE-L
5,0.001,0.8300114457558273,0.7915470841965732,0.7782804609958788,0.8284575478508657,0.7688617347966722,0.8240723542800704
5,0.1,0.8295297742443334,0.792894407632566,0.7783343005057132,0.8284319002284807,0.7685955222220381,0.8238437536823762
5,0.2,0.8273510348240765,0.791679895033229,0.7761615612038371,0.8271270088148999,0.7671546042467117,0.8225830749308044
5,0.3,0.8289023745289795,0.7911050863825863,0.7768582104647008,0.8253892955251706,0.7645872318682709,0.8207604875019869
5,0.4,0.8274348343094843,0.7873699205600815,0.77371019819639,0.8215022894017578,0.7597771217327933,0.8167724325280509
5,0.5,0.8290481388278373,0.78637269753646,0.7733760753431626,0.8164934976011895,0.7540640662914666,0.8116982198262392
5,0.6,0.8252139663441143,0.7852555317118037,0.7709409303718634,0.8133768768790195,0.750097821778277,0.8084242215279149
5,0.7,0.824502889615484,0.7811185446376095,0.7677309600574654,0.8089445195074247,0.7446130268843639,0.8039031926447576
5,0.8,0.8242550800931426,0.7794412229886776,0.7662984979372558,0.8038453457556874,0.738022375388897,0.7984995282374352
5,0.9,0.8281017219503934,0.7780193962011592,0.7672883547216045,0.803398763279219,0.7364718684501106,0.797887671440335
5,1.0,0.8257809839657323,0.7745863463029883,0.7637978155767071,0.7974591623991957,0.7298635632700952,0.79178983609852
